,assessmentScore,code,comments,goalClearnessScore,importanceScore,name,percentPassed,points,registered,satisfactionScore,teachingScore,workloadScore,year
0,+47,EDAA01,"KommentarerStudierådets kommentarerEnligt arbetsrapporten var de flesta som gått kursen nöjda. C-programmet tyckte dock att det var för mycket arbete, men mötet kom fram till att det var för att de läser många tunga kurser samtidigt. Lantmäteri läser fördjupningskursen långt efter den första kursen och därför ska Anna skicka ut en lista på bra saker att repetera innan kursen startar. Anna ska också jobba för att fler ska använda verktyget PeerWise.Kurslärarens kommentererDet är glädjande att så många är nöjda med kursen och finner den relevant för sin utbildning. På CEQ-mötet framkom önskemål om att man inför kursstarten skulle få tips om vad som är viktigast att repetera från grundkursen. Det är en bra idé som ska genomföras. Detta är speciellt viktigt för de studenter som läser kursen under sitt tredje läsår och har ett långt uppehåll mellan grundkursen och fördjupningskursen.Programledarens kommentarerKursen upplevs av studenterna som mycket angelägen för utbildningen. Både föreläsare och kursen som helhet fick många positiva kommentarer. Särskilt de små uppgifter som fick göras under föreläsningarna var uppskattade. Dock verkar många InfoCom-studenter uppleva att arbetsbelastningen är hög.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+24,+64,Programmeringsteknik - fördjupningskurs,58%,7.5,40,+29,+4,-7,11/12
1,+22,EIT060,"Studierådets kommentarerFörberedelserna till labbarna var väldigt ojämnt fördelat i mån av belastning på eleven. Lab 1 handlade om mycket inhämtande av information och svara på frågor medan Lab 2 var ett måste att man skulle ha programmerat ett eget program och slutligen Lab 3 som knappt hade förberedelseuppgifter att svara på utan nästan bara läsanvisningar.Projekten var bra då projekt 1 var mer som en förberedelseuppgift för en del av projekt 2.Föreläsningarna var väldigt bra då Martin med hjälp av skämt eller liknande höll kontakten med publiken. Ett oerhört effektivt sätt för att få fram sin information!Kurslärarens kommentererKursen har gått bra och studenterna upplever den som mycket angelägen för deras utbildning. Det gäller både C och D. Jag tycker att jag fick väldigt många konstruktiva förslag på förbättringar. Jag ska bli mer tydlig med övningsuppgifterna, dvs var och att de finns. Några tyckte att labbanvisningarna var lite otydliga, främst för den tredje laborationen. Jag håller med om det och ska tydliggöra det tills nästa år, speciellt förberedelsedelarna. Flera studenter skulle också vilja ha mer hjälp i sammansättningen av projektgrupper. Jag ska försöka underlätta detta nästa år och även försöka få dem att ha blandade grupper med studenter från olika program.Programledarens kommentarerDet är glädjande att notera att kursen fungerar bra, samt återigen får mycket höga poäng beträffande angelägenhetsgraden för utbildningen. Vid utvärderingsmötet förstärktes detta positiva intryck via de synpunkter som fördes fram.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+43,+88,Datasäkerhet,89%,7.5,36,+82,+58,+18,11/12
2,+21,EIT070,"Studierådets kommentarerÖverlag en kurs en stor majoritet av studenterna är nöjda med. Föreläsaren för stort plus för sin pedagogik. Övningsledarna prisas för sin grundlighet.Kritik mot labbhandledningen samt att det mot slutet av kursen var mindre koppling/röd tråd mellan föreläsning, laborationer och övningar. C-programmeringen bör flyttas från föreläsning till (frivilligt) laborationsmoment. Framtiden om kursupplägget diskuterades och alternativ lades fram, men i skrivande stund behöver och kommer inte kursen att ändras nämnvärt - något som är utan problem, då kursen uppfattas som utmärkt.Kurslärarens kommentererKursen går i stort sett mycket bra, men institutionen är medveten om både möjligheten och behovet av modernisering och förändring. Kursen och dess innehåll är starkt kopplade till kursen i Datorarkitektur, och all förändring måste ske i samarbete med denna senare kurs. Det är i dagens läge oklart vad som skall göras och under vilket år.Till nästa år kommer en det att ske en genomgång av laborationshandledningarna.Under CEQ-mötet berättade representanter från D-programmet att många tyckte att kursen kändes mycket inspirerande för just valet av utbildning, och E-programmet var också mycket positivt. Kursansvarig tackar för detta och konstaterar att den typen av positiv kritik också känns mycket inspirerande.Programledarens kommentarerKursen upplevs som angelägen för utbildningen. Labbhandledningarna fick en del kritik av studenterna och kommer arbetas om till nästa år. Dock var laborationerna i sig väldigt uppskattade. Det förekommer en del C-programmering i  kursen och flera InfoCom-studenter upplever detta som svårt då man inte läser någon kurs i C-programmering. Föreläsaren fick positiva kommentarer.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+9,+50,Datorteknik,79%,6.0,28,+36,+15,+21,11/12
3,+38,FAFF25,"Studierådets kommentarerDetta är en översiktskurs som ligger väldigt sent.För oss som läser kinainriktning kan den läsas i 4an. Annars i 3an. Det bör eftersträvas att i framtiden lägga denna kurs tidigare i utbildningen, det gör inget att dela upp den i två delar för att kanske få den första första året och andra halvan andra året. Kursen som stort kändes ok men projektet kändes väldigt krystat. Det vore fördelaktigt om projekten kunde anpassas till områden som fortfarande når fysik och miljö men även områden som anknyter till IT. Exempelvis facebook bygger serverhallar i Luleå. De från programledningen erbjuder sig att eventuellt fixa fram handledare från instutionen att bistå med hjälp under nästa års projekt. Projektredovisningarna hade mått gott av att få någon som helst feedback av sin handledare.Kurslärarens kommentererÅrets största förändring var byte av litteratur på fotonikdelen samt nyutveckling av fiberoptilaborationen. Enl utvärderingens direkta frågor ang. dessa punkter noterar vi med glädje att de verkar ha uppskattats av de flesta studenterna. Inför nästa år ska vi genomföra en separat kursutvärdering efter termodynamikdelen på hösten för att göra utvärderingsprocessen tydligare. Vi ska också jobba på att förbättra återkopplingen på själva presentationerna av projekten.Större förändringar som både lärarna och studentrepresentanten önskar (och har gjort sedan kursen drogs igång) är att flytta den till en tidigare årskurs. För att underlätta denna process är det enligt vår mening fullt möjligt att dela kursen i en 6 hp kurs med termodynamik och projekt i hållbar utveckling samt en 5 hp kurs i fotonik.Programledarens kommentarerKursen fick högre poäng än föregående år, vilket är positivt. Ett problem är att den fortfarande inte känns så angelägen för utbildningen. Bytet av bok var troligen väldigt lyckat. I vissa avseenden ansågs den kanske vara på för låg nivå, men den uppskattades av de allra flesta. På mötet diskuterades förslag till förbättringar, t.ex möjligheter att ge studenterna feedback på de muntliga presentationerna.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+9,-50,Fysik,43%,11.0,30,+4,-4,-7,11/12
4,+43,FMAA01,"KommentarerStudierådets kommentarerD:arna uppskattade föreläsaren och den nya kursboken. Den bristande uppslutningen på övningar och en viss mån även på föreläsningar, berodde till stor del på de dåliga tiderna (tidigt på morgonen och sent på eftermiddagen).Kurslärarens kommentererBra att många noterat ""det nya tänket"" jämfört med gymnasiet. Jag ska använda de kommentarerna vid nästa kursintroduktion. Tyvärr kan vi inte göra mycket åt ""fakirtiderna"".Programledarens kommentarerKursen har fått många positiva kommentarer och den känns angelägen för utbildningen. På mötet diskuterades möjliga förbättringar. Seminarierna var mycket uppskattade, men de hamnade i ofas med föreläsningarna. Arbetsbelastningen upplevdes också som hög.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+51,+48,Endimensionell analys,40%,15.0,43,+55,+35,-26,11/12
5,+23,MAMA15,"KommentarerStudierådets kommentarerÖverlag är studenterna nöjda med kursen, den känns angelägen och relevant till utbildningen. Projektet var kul och lärorikt, men vissa deadlines upplevdes vara otydliga och vad som skulle göras var svårt att förstå. Det första arbetet var en god inkörsport till att börja tänka på rätt sätt, flera studenter uppger att de sjävla tänker direkt på interaktionsdesign när de ser rött på blått eller en rörigt användargränssnitt. Föreläsarna får gärna vara tydligare med vad som är viktigt för tentan, speciellt på human factors-delen som var den svåraste biten. Det var även det som många upplevde som irrelevant och trist. Gränslandet mellan vad som ingick och inte behöver bearbetas. Kursboken var bristfällig, flertalet i klassen har inte ens öppnat den. Det innebär givetvis att slides å andra sidan var bra, men boken är under all kritik. Mycket text som var svår att ta till sig. Rättningen av tentan tog extremt lång tid, och hur resultatet presenterades upplevdes av många som stötande. PDF-utskick till samtliga kändes osmidigt.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen upplevdes som mycket angelägen för utbildningen. På mötet diskuterades flera möjliga förbättringar. Boken fick en hel del kritik men föreläsarna fick många positiva kommentarer. I diskussionen framkom även att projekten behöver förtydligas så att studenterna vet vad som förväntas av dem.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-16,+80,"Interaktionsdesign, grundkurs",60%,7.5,50,+36,+28,+16,11/12
6,+40,EDA095,"KommentarerStudierådets kommentarerLaborationerna var nyttiga med bra innehåll. Tentan var bra strukturerad och testade både teori och praktik. Föreläsarna var engagerade och hjälpsamma.Laborationshandledningarna var tidvis otydliga, och vissa föreläsningar hade väldigt många slides (~70).Kurslärarens kommentererÅrets kurs har som vanligt flutit på bra med studenter som särskilt har uppskattat det fria projektet som ingår i kursen. På CEQ-mötet diskuterades särskilt konsekvenserna av att studenter med så olika förkunskaper från andra kurser läser samma kurs. D4:or som läst EDA040 Realtidsprogrammering som delvis överlappar innehållsmässigt samsas med studenter från andra program och årskurser (C3 etc) som inte har denna erfarenhet. D4:or kan därmed uppleva kursen som lite i lättaste laget. Det observerades att detta förhållande kan bli ännu tydligare i framtiden eftersom kursen flyttar från C3 till C2 som obligatorisk från och med nästa kursomgång. Detta bör särskilt uppmärksammas nästa gång kursen ges.Programledarens kommentarerKursen fungerar väl, får goda omdömen samt bedöms ha hög relevans för utbildningen. Vid CEQ-mötet diskuterades arbetsrapporten, samt intryck och erfarenheter av kursen presenterades.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+28,+66,Nätverksprogrammering,82%,7.5,74,+57,+25,+22,11/12
7,+49,EDA216,"Studierådets kommentarerDatabasen fungerade överlag utmärkt, folk var nöjda med föreläsningarna och alla labbar. Det var vissa som ansåg att de två sista labbarna var för lika men om några ändringar kommer ske så blir det inget stort.De flesta åsikterna handlade om projektet. Flera ansåg att det var repetetivt då man gjort alla delar genom labbarna. Det var även åsikter om att minska på Java och GUI delen och lägga mer tid på mer avancerade MySQL queries vilket läraren lovade att kolla över om det går att förbättra till nästa år. Några anser även att beskrivningen var otydlig och innehåller för mycket information som inte är relevant till kodningen, läraren lovade att även se över detta men att det finns en lite baktanke med att projektbeskrivningen innehåller mer information än vad som är nödvändigt för uppgiften.Kurslärarens kommentererKursen fick övervägande positiva kommentarer, vilket jag är glad för. Av fritextkommentarerna framgår att de flesta tycker att kursen innehåller en lagom blandning av teori och praktik.I år är det, för första gången, många kommentarer om projektet. Några tycker att beskrivningen av vad som egentligen ska göras är otydlig -- detta är mer eller mindre avsiktligt för att studenterna ska lära sig att identifiera krav ur otydliga kravspecifikationer. Sedan tycker en del att det är för mycket GUI-programmering och för enkla databasfrågor -- jag ska titta över detta till nästa år.Eventuellt kommer jag också att byta ut en av laborationerna mot en ny laboration där man lär sig använda en grafdatabas.Programledarens kommentarerStudenterna är nöjda med kursen och upplever den som mycket angelägen för utbildningen. Flera kommentarer var relaterade till projektet och det verkar som att beskrivningen av detta skulle kunna förbättras för att bli tydligare. I övrigt fick både föreläsningar, laborationer och projektet många positiva kommentarer.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+40,+84,Databasteknik,89%,7.5,85,+63,+33,+44,11/12
8,+18,EIT100,"KommentarerStudierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererJag är mycket nöjd med årets kurs och grupp. Teknologerna verkar fungera och trivas mycket bra tillsammans. Kapitel 2 och 4 upplevs som relativt svåra.Vad gäller Kapitel 2 så ÄR det svårt! Allt behöver inte vara enkelt här i livet. Jag tror att en del av de upplevda svårigheterna med Kapitel 2 beror på att anmärkningsvärt många uppvisar betydande brister vad gäller räknefärdighet vad gäller högstadiets och gymnasiets matematik. Märkligt nog fungerar Kapitel 7 (kryptering) mycket bra med matematik som de aldrig stött på tidigare (Euklides algoritm, talteori etc)!Programledarens kommentarerKursen verkar ha fungerat bra och studenterna uppfattar den som angelägen för utbildningen. En möjlig förbättring som diskuterades på mötet var att man tydligare skulle kunna sätta de olika ämnena i sitt sammanhang för att få en bättre överblick i ett tidigt skede.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+24,+39,Informationsöverföring,93%,7.5,42,+36,+15,+39,11/12
9,+25,ETI265,"Studierådets kommentarerDet finns inte tillräckligt med underlag för att ge en rättvis kommentar och bedömning av kursen. Detta sades även under CEQ-mötet.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerEndast 4 från C svarade på utvärderingen vilket gör att siffrorna inte är tillförlitliga. Ingen från C dök heller upp på uppföljningsmötet. Slutsatserna här är dels baserade på svar från D-studenter men även på diskussion mellan studieråd, lärare och D-studenter. Det verkar som att laborationerna, som fick en hel kritik förra året, har fungerat bättre i år. De fick flera positiva kommentarer. Duggorna fick också flera positiva kommentarer. Det var svårt att hitta någon del av kursen som specifikt behövde förbättras. Alla delar fick både en del positiva  och en del negativa kommentarer. En möjlig förbättring som diskuterades är att göra övningarna mer kopplade till föreläsningarna, både tidsmässigt och innehållsmässigt. Kursen har också vissa problem med studenternas upplevelse av angelägenhet för utbildningen. Denna var hög tidigare, men verkar nu ha sjunkit. Dock verkade det på mötet tydligt att studenterna faktiskt upplevde den som angelägen, men att kopplingen till andra kurser och till utbildningen i allmänhet kunde göras mer explicit och tydlig.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-42,-75,Signalbehandling i multimedia,67%,7.5,18,-13,-61,-13,11/12
